,casualty_class,sex_of_casualty,age_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_home_area_type,casualty_imd_decile
223,3,1,61,3,5,3,0,0,0,0,1,3
224,1,1,28,3,0,0,0,0,0,9,1,7
225,2,2,22,3,0,0,1,0,0,9,1,7
226,1,1,30,3,0,0,0,0,0,3,1,8
227,1,1,30,3,0,0,0,0,0,9,1,1
228,2,1,31,3,0,0,1,0,0,9,1,1
229,1,1,18,3,0,0,0,0,0,9,1,3
230,2,1,18,3,0,0,1,0,0,9,1,1
231,1,2,21,3,0,0,0,0,0,9,1,2
232,3,1,20,3,5,3,0,0,0,0,1,10
233,1,1,40,3,0,0,0,0,0,9,1,3
234,1,1,18,3,0,0,0,0,0,5,1,1
235,1,1,41,3,0,0,0,0,0,19,1,5
236,1,1,39,3,0,0,0,0,0,9,1,2
237,1,1,48,3,0,0,0,0,0,9,1,5
238,2,1,30,3,0,0,1,0,0,9,1,8
239,1,1,65,3,0,0,0,0,0,9,1,3
240,2,1,12,3,0,0,1,0,0,9,1,3
241,1,1,48,3,0,0,0,0,0,9,1,2
242,1,1,33,3,0,0,0,0,0,5,1,10
243,1,1,43,3,0,0,0,0,0,9,1,9
244,1,1,48,3,0,0,0,0,0,1,1,4
245,3,2,54,3,5,1,0,0,0,0,1,9
246,1,1,27,3,0,0,0,0,0,9,1,3
247,1,2,42,3,0,0,0,0,0,11,1,3
248,2,2,25,3,0,0,0,3,0,11,1,6
249,2,1,0,3,0,0,0,3,0,11,1,6
250,1,2,47,2,0,0,0,0,0,9,1,9
251,1,1,24,3,0,0,0,0,0,5,1,1
252,1,1,30,3,0,0,0,0,0,9,1,5
253,1,1,31,3,0,0,0,0,0,1,1,1
254,3,2,9,3,1,1,0,0,0,0,1,7
255,1,1,36,3,0,0,0,0,0,3,1,3
256,1,2,33,3,0,0,0,0,0,9,1,10
257,2,2,78,3,0,0,0,3,0,11,1,6
258,2,1,21,3,0,0,2,0,0,9,1,4
259,1,1,25,3,0,0,0,0,0,3,1,5
260,1,2,32,3,0,0,0,0,0,9,1,3
261,2,1,10,3,0,0,2,0,0,9,1,3
262,1,2,36,3,0,0,0,0,0,3,1,3
263,2,2,71,3,0,0,0,3,0,11,1,3
264,1,1,48,3,0,0,0,0,0,3,1,2
265,2,2,76,3,0,0,0,4,0,11,1,1
266,3,2,14,3,5,4,0,0,0,0,1,5
267,3,2,13,2,1,3,0,0,0,0,1,1
268,1,1,32,3,0,0,0,0,0,3,1,2
269,1,1,50,2,0,0,0,0,0,2,1,1
270,1,2,35,3,0,0,0,0,0,9,1,10
271,1,1,69,3,0,0,0,0,0,3,1,9
272,1,1,28,3,0,0,0,0,0,1,1,5
273,1,1,30,3,0,0,0,0,0,5,1,2
274,3,1,40,3,4,1,0,0,0,0,1,1
275,2,2,37,3,0,0,1,0,0,9,1,8
276,3,1,37,3,5,3,0,0,0,0,1,2
277,1,2,56,3,0,0,0,0,0,9,1,3
278,1,1,38,3,0,0,0,0,0,9,1,4
279,2,1,50,3,0,0,1,0,0,9,1,4
280,1,2,35,3,0,0,0,0,0,9,1,4
281,2,1,35,3,0,0,1,0,0,9,1,4
282,1,1,40,3,0,0,0,0,0,9,1,4
283,2,1,38,3,0,0,1,0,0,9,1,4
284,3,1,38,3,5,1,0,0,0,0,1,5
285,2,1,22,3,0,0,1,0,0,9,1,1
286,1,1,44,3,0,0,0,0,0,8,1,1
287,1,2,33,3,0,0,0,0,0,9,1,3
288,1,1,28,3,0,0,0,0,0,3,1,2
289,3,2,33,3,4,4,0,0,0,0,1,10
290,1,2,21,3,0,0,0,0,0,9,1,9
291,2,2,43,3,0,0,1,0,0,9,1,4
292,2,1,11,3,0,0,2,0,0,9,1,4
293,1,1,35,3,0,0,0,0,0,9,1,5
294,1,1,28,2,0,0,0,0,0,9,1,2
295,2,1,25,3,0,0,1,0,0,9,1,4
296,2,1,23,3,0,0,2,0,0,9,1,5
297,1,1,32,3,0,0,0,0,0,1,1,2
298,3,1,43,3,4,1,0,0,0,0,1,1
299,1,1,38,3,0,0,0,0,0,11,1,3
300,1,1,42,2,0,0,0,0,0,9,1,5
301,1,1,41,3,0,0,0,0,0,1,1,2
302,1,1,44,3,0,0,0,0,0,9,1,6
303,1,1,45,3,0,0,0,0,0,1,1,3
304,1,2,32,3,0,0,0,0,0,1,1,3
305,1,2,44,3,0,0,0,0,0,9,1,4
306,1,1,52,3,0,0,0,0,0,19,1,2
307,1,1,32,2,0,0,0,0,0,3,1,6
308,1,2,31,3,0,0,0,0,0,1,1,5
309,1,1,41,3,0,0,0,0,0,1,1,7
310,1,2,22,3,0,0,0,0,0,9,1,3
311,3,1,45,1,5,1,0,0,0,0,1,5
312,1,1,41,3,0,0,0,0,0,3,1,7
313,1,1,30,3,0,0,0,0,0,5,1,4
314,1,1,36,3,0,0,0,0,0,1,1,2
315,3,2,51,3,4,1,0,0,0,0,1,6
316,1,2,23,3,0,0,0,0,0,9,1,2
317,2,2,48,3,0,0,1,0,0,9,1,2
318,1,1,20,2,0,0,0,0,0,2,1,8
319,3,1,51,2,1,1,0,0,0,0,1,2
320,1,2,55,3,0,0,0,0,0,1,1,3
321,3,1,69,3,5,3,0,0,0,0,1,8
322,2,2,8,3,0,0,0,4,0,11,1,5
323,1,2,28,3,0,0,0,0,0,9,1,1
324,1,1,44,2,0,0,0,0,0,5,1,10
325,1,1,39,3,0,0,0,0,0,8,1,4
326,1,1,46,3,0,0,0,0,0,5,1,10
327,1,1,34,3,0,0,0,0,0,3,1,3
328,1,2,19,3,0,0,0,0,0,9,1,1
329,1,2,39,3,0,0,0,0,0,9,1,4
330,1,1,59,3,0,0,0,0,0,9,3,7
331,1,1,20,3,0,0,0,0,0,3,1,7
332,1,2,53,3,0,0,0,0,0,9,1,4
333,1,1,32,3,0,0,0,0,0,3,1,6
334,1,1,19,3,0,0,0,0,0,3,1,3
335,1,1,35,3,0,0,0,0,0,1,1,8
336,1,1,34,3,0,0,0,0,0,20,1,9
337,1,1,21,3,0,0,0,0,0,3,1,2
338,1,1,29,3,0,0,0,0,0,1,1,5
339,1,1,46,3,0,0,0,0,0,8,1,5
340,1,1,31,3,0,0,0,0,0,3,1,2
341,1,1,26,3,0,0,0,0,0,9,1,3
342,1,1,44,3,0,0,0,0,0,4,1,5
343,1,1,23,3,0,0,0,0,0,3,1,1
344,1,1,37,3,0,0,0,0,0,9,1,1
345,1,1,48,3,0,0,0,0,0,9,1,8
346,1,1,43,3,0,0,0,0,0,9,1,5
347,1,1,45,3,0,0,0,0,0,1,1,5
