,casualty_class,sex_of_casualty,age_of_casualty,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_home_area_type,casualty_imd_decile
40694,2,2,75,0,0,2,0,0,9,1,4
5751,2,2,60,0,0,1,0,0,9,1,2
22706,1,1,19,0,0,0,0,0,3,1,4
24411,1,2,50,0,0,0,0,0,9,1,8
102735,3,1,24,1,1,0,0,0,0,1,5
55555,3,2,76,5,3,0,0,0,0,1,7
46214,2,1,17,0,0,2,0,0,9,1,5
18865,1,2,20,0,0,0,0,0,9,1,2
70814,1,1,55,0,0,0,0,0,1,1,8
82572,1,1,36,0,0,0,0,0,9,1,4
46949,1,1,20,0,0,0,0,0,5,1,1
105798,2,2,14,0,0,2,0,0,9,1,8
84221,2,2,88,0,0,2,0,0,9,1,5
100767,1,2,52,0,0,0,0,0,9,3,5
85039,1,2,30,0,0,0,0,0,9,1,6
59146,1,1,64,0,0,0,0,0,9,3,8
110292,1,2,58,0,0,0,0,0,9,3,6
102489,2,2,28,0,0,1,0,0,9,1,3
102144,1,1,42,0,0,0,0,0,9,1,10
30717,1,1,48,0,0,0,0,0,90,1,2
1522,1,1,44,0,0,0,0,0,8,1,5
22363,1,1,42,0,0,0,0,0,3,1,7
84647,1,1,63,0,0,0,0,0,19,1,10
11012,1,2,35,0,0,0,0,0,9,1,10
104550,1,1,28,0,0,0,0,0,9,1,8
54804,1,1,42,0,0,0,0,0,9,1,7
55782,1,2,18,0,0,0,0,0,9,1,3
15580,1,2,23,0,0,0,0,0,9,1,7
35457,1,1,64,0,0,0,0,0,19,1,10
58601,2,2,23,0,0,1,0,0,9,1,5
64222,1,1,60,0,0,0,0,0,19,1,7
61456,2,2,30,0,0,0,3,0,11,1,9
1897,1,1,50,0,0,0,0,0,8,1,9
55319,1,1,64,0,0,0,0,0,9,1,9
115342,1,1,60,0,0,0,0,0,9,3,2
59142,1,2,23,0,0,0,0,0,9,2,9
95961,1,2,18,0,0,0,0,0,9,1,6
63355,1,1,20,0,0,0,0,0,9,3,4
69394,1,1,44,0,0,0,0,0,5,1,6
111576,1,1,49,0,0,0,0,0,9,1,3
33397,1,1,70,0,0,0,0,0,9,3,7
32634,1,1,12,0,0,0,0,0,1,1,6
50601,1,2,57,0,0,0,0,0,9,1,4
101577,1,2,41,0,0,0,0,0,2,1,9
74628,1,1,19,0,0,0,0,0,9,1,5
75227,2,2,12,0,0,0,3,0,11,1,4
53472,2,2,46,0,0,2,0,0,9,1,1
80579,1,1,40,0,0,0,0,0,5,1,7
111061,2,2,57,0,0,2,0,0,9,3,9
7646,1,1,63,0,0,0,0,0,1,1,5
87949,1,1,35,0,0,0,0,0,19,1,4
65702,1,1,41,0,0,0,0,0,9,3,7
109805,3,1,15,9,8,0,0,0,0,3,3
25557,1,2,34,0,0,0,0,0,9,1,5
115536,1,1,23,0,0,0,0,0,9,3,6
83206,1,1,44,0,0,0,0,0,5,1,2
8337,1,2,33,0,0,0,0,0,1,1,3
5403,1,1,49,0,0,0,0,0,9,1,5
31117,3,2,52,5,3,0,0,0,0,1,2
32647,2,1,7,0,0,0,0,0,90,1,1
61274,1,1,27,0,0,0,0,0,9,2,3
1186,3,1,36,8,1,0,0,0,0,1,4
88297,1,1,55,0,0,0,0,0,1,1,10
51471,1,2,21,0,0,0,0,0,9,1,2
54328,2,2,13,0,0,2,0,0,9,1,3
45822,1,1,29,0,0,0,0,0,9,2,2
95998,1,2,30,0,0,0,0,0,1,1,7
70896,1,1,18,0,0,0,0,0,2,1,3
40940,3,1,64,5,3,0,0,0,0,1,1
70754,1,1,36,0,0,0,0,0,9,1,2
79607,1,1,23,0,0,0,0,0,9,2,10
83065,2,2,24,0,0,2,0,0,9,1,4
38590,1,1,19,0,0,0,0,0,9,3,9
71038,1,1,36,0,0,0,0,0,9,1,3
76497,1,1,50,0,0,0,0,0,9,1,4
18601,1,1,56,0,0,0,0,0,4,1,7
108614,1,2,30,0,0,0,0,0,9,2,3
49036,1,2,18,0,0,0,0,0,9,1,9
22593,3,2,12,4,3,0,0,0,0,1,2
45163,2,2,70,0,0,1,0,0,9,1,9
40830,3,1,15,1,4,0,0,0,0,1,1
82144,1,1,19,0,0,0,0,0,4,1,2
77804,1,1,22,0,0,0,0,0,9,1,3
15751,1,1,22,0,0,0,0,0,1,1,6
40392,2,2,18,0,0,2,0,0,9,1,4
92194,1,1,48,0,0,0,0,0,1,1,10
63752,1,1,65,0,0,0,0,0,5,1,5
24738,2,1,15,0,0,1,0,0,9,1,2
43184,1,1,42,0,0,0,0,0,9,1,2
61535,1,1,41,0,0,0,0,0,19,1,2
39495,1,1,56,0,0,0,0,0,19,2,7
44579,1,1,30,0,0,0,0,0,4,1,3
34533,1,2,23,0,0,0,0,0,19,2,5
47781,1,1,34,0,0,0,0,0,98,1,9
45599,1,1,44,0,0,0,0,0,1,3,6
74384,1,2,18,0,0,0,0,0,9,1,8
8493,1,1,46,0,0,0,0,0,1,1,3
87781,2,2,32,0,0,2,0,0,9,1,6
115222,2,1,35,0,0,1,0,0,9,2,5
83868,1,2,54,0,0,0,0,0,9,3,5
69324,1,1,74,0,0,0,0,0,19,1,4
112040,1,1,20,0,0,0,0,0,4,2,7
43014,1,1,51,0,0,0,0,0,8,1,1
83773,1,2,31,0,0,0,0,0,1,1,3
9651,1,2,27,0,0,0,0,0,9,1,4
46703,1,1,49,0,0,0,0,0,1,1,1
84003,1,2,26,0,0,0,0,0,9,1,2
11395,1,2,36,0,0,0,0,0,9,1,3
53305,1,2,30,0,0,0,0,0,9,1,1
74450,1,1,18,0,0,0,0,0,3,1,9
114851,1,1,84,0,0,0,0,0,9,1,2
28927,1,1,71,0,0,0,0,0,9,1,3
14566,1,1,18,0,0,0,0,0,9,1,3
29477,1,1,40,0,0,0,0,0,9,1,1
32843,1,1,44,0,0,0,0,0,1,1,4
95398,1,2,43,0,0,0,0,0,9,2,10
72795,1,1,29,0,0,0,0,0,9,3,5
14719,2,1,7,0,0,2,0,0,9,1,3
14882,1,1,57,0,0,0,0,0,4,1,7
96259,1,1,58,0,0,0,0,0,1,1,1
110148,2,1,17,0,0,1,0,0,9,1,4
84670,1,1,26,0,0,0,0,0,1,1,1
76252,1,1,46,0,0,0,0,0,5,1,10
15457,1,1,37,0,0,0,0,0,9,1,3
34913,1,1,44,0,0,0,0,0,19,1,7
37966,1,1,27,0,0,0,0,0,9,1,3
115573,3,2,54,8,1,0,0,0,0,1,4
81209,1,2,29,0,0,0,0,0,9,1,4
52681,1,1,21,0,0,0,0,0,9,1,3
90080,1,1,16,0,0,0,0,0,9,1,4
47623,1,2,39,0,0,0,0,0,9,1,4
85666,1,1,67,0,0,0,0,0,9,3,6
49778,1,2,39,0,0,0,0,0,9,1,3
55497,1,1,53,0,0,0,0,0,1,3,8
96264,1,2,12,0,0,0,0,0,1,1,5
